day,hour,value,metric,is_idle_business
Total,12:00:00,773.5,completed,False
Total,13:00:00,477.1,completed,False
Total,14:00:00,582.4,completed,False
Total,15:00:00,640.9,completed,False
Total,16:00:00,172.9,completed,False
Total,17:00:00,100.10000000000001,completed,False
Total,18:00:00,19.500000000000004,completed,False
Total,19:00:00,7.800000000000001,completed,False
Total,20:00:00,9.100000000000001,completed,False
Total,21:00:00,10.400000000000002,completed,False
Total,22:00:00,2.6,completed,False
Total,will call,3.9000000000000004,completed,False
