variant,threshold,accuracy,f1,roc_auc,sensitivity,specificity,ppv,npv,balanced_accuracy,false_ready_rate,missed_ready_rate
baseline,0.49000000000000027,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5000000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5100000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5200000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5300000000000002,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5400000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5500000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5600000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5700000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5800000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.5900000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6000000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6100000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6200000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6300000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6400000000000003,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6500000000000004,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
baseline,0.6600000000000004,0.99625,0.9962917181705809,0.9999499921862791,0.9950617283950617,0.9974683544303797,0.9975247524752475,0.9949494949494949,0.9962650414127208,0.002531645569620253,0.0049382716049382715
