column,table,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
sun,prospective_intake_base,8.0,0.375,0.7440238091428449,0.0,0.0,0.0,0.0,0.0,0.25,1.6499999999999995,1.9299999999999997,2.0
avg_revenue_completed_trip,prospective_intake_base,8.0,112.875,74.65623598486982,58.0,58.28,59.4,66.5,81.0,122.25,234.75,238.95,240.0
avg_revenue_billable_no_show,prospective_intake_base,8.0,40.0,41.14434521118477,0.0,0.0,0.0,0.0,42.5,56.25,98.99999999999997,115.79999999999998,120.0
booking_notice_hrs,prospective_intake_base,8.0,23.25,24.32958222881296,4.0,4.14,4.7,7.5,12.0,30.0,63.59999999999999,70.32,72.0
weekly_total_days,prospective_intake_base,8.0,11.375,7.029275516418053,4.0,4.07,4.35,5.75,10.0,15.0,21.9,23.58,24.0
billed_trips_week,prospective_intake_base,8.0,12.5,8.053393251117374,5.0,5.0,5.0,5.75,10.5,17.0,24.549999999999997,26.509999999999998,27.0
non_billable_ns,prospective_intake_base,8.0,0.0495156395925,0.053642660642511025,0.0,0.0,0.0,0.0,0.041666666665000004,0.0718954248325,0.13174603177,0.140634920674,0.1428571429
billed_utilization_index,prospective_intake_base,8.0,1.0890376983749999,0.08815699698940185,1.0,1.0,1.0,1.0,1.097222222,1.1294642857500001,1.21250000005,1.24250000001,1.25
revenue_week,prospective_intake_base,8.0,1096.5,576.5220848204466,464.0,464.28,465.4,762.75,1102.5,1218.5,1939.8999999999994,2221.58,2292.0
ha_trips_week,prospective_intake_base,2.0,4.5,0.7071067811865476,4.0,4.01,4.05,4.25,4.5,4.75,4.95,4.99,5.0
vehicle_utilization,readiness_training_base,4000.0,1.1151454288154736,0.2070605944846921,0.5000086559547063,0.5271719990978768,0.6449067664506192,1.0076464970936825,1.20475,1.20475,1.3900263325545652,1.4377928241519684,1.4495957251972769
billed_utilization,readiness_training_base,4000.0,1.1633664604635028,0.2046363667182914,0.5012291502666174,0.5303141683491872,0.6726914782904264,1.0883350940757595,1.25525,1.25525,1.4069610540582396,1.4435373729974441,1.4498705449655904
